Risk ID,Title,Likelihood,Impact,Score,Description,Owner,Frameworks
R1,Unauthorized Access to PHI,3,3,9,Lack of MFA and poor RBAC exposes PHI,GRC / IT Security,HIPAA 164.312(a) | ISO A.9 | SOC 2 CC6.1 | NIST PR.AC | COBIT DSS05.04
R2,Cloud Misconfiguration,3,3,9,Public cloud storage and no config scanning,DevOps,ISO A.10 | SOC 2 CC7.2 | HIPAA | NIST DE.CM | HITRUST 01.b
R3,Insecure Vendor API,2,3,6,Vendors lack breach SLAs and DPA controls,Procurement / Legal,SOC 2 CC9.2 | HIPAA 164.308(b)(1) | GDPR Art. 28 | ISO A.15
R4,Inadequate Logging,3,2,6,"No SIEM, no log correlation or retention",SecOps,ISO A.12.4 | HIPAA 164.312(b) | SOC 2 CC7.2 | NIST DE.CM | PCI Req. 10
R5,Insider Misuse,2,3,6,No UEBA or alerting on high-risk user activity,HR / SecOps,SOC 2 CC6.2 | HIPAA 164.308(a)(4) | ISO A.9.4 | NIST PR.AC
R6,Weak Encryption,2,3,6,"Backups not encrypted, KMS not enforced",DevOps,HIPAA 164.312(e) | PCI DSS Req. 3.5 | ISO A.10 | NIST PR.DS
R7,Missing BCP/DR Plan,1,3,3,No disaster recovery testing or planning,GRC / DevOps,HIPAA 164.308(a)(7) | ISO A.17 | SOC 2 CC9.1 | NIST ID.BE
R8,Insecure SDLC,2,2,4,No secure code review or static scanning,Engineering / AppSec,ISO A.14 | SOC 2 CC8.1 | PCI Req. 6.5 | NIST PR.IP-3
R9,No Risk Program,3,2,6,No central risk register or risk lifecycle,GRC,ISO A.6.1.2 | SOC 2 CC4.1 | NIST ID.RA | HITRUST RM-01
R10,Phishing Risk,3,2,6,No phishing testing or user training,HR / Security,HIPAA 164.308(a)(5) | ISO A.7.2.2 | SOC 2 CC2.1 | PCI 12.6
